UF,MUN,COD_IBGE,num_mortes_prioridade,tipo,data_da_atualizacao,escolas_municipais_fechadas,Observações,escolas_estaduais_fechadas,Observações,universidades_fechadas,Observações,comercio_nao_essencial_fechado,Observações,espacos_publicos_fechados,Observações,transporte_publico_reduzido,Observações,igrejas_fechadas,Observações,eventos_de_grande_porte_cancelados,Observações,transporte_rodoviário_intermunicipal_cancelado,Observações,entrada_restrita_a_residentes,Observações,doentes_orientados_a_ficar_em_casa,Observações,distribuicao_merenda_escolar,Observações,restricao_horario_comercio,Observações,toque_de_recolher,Observações,circulacao_apenas_com_autorizacao,Observações,antecipacao_vacinacao,Observações,desinfeccao_cidade,Observações,distribuicao_cesta_basica,Observações,campanhas_publicas_para_ficar_em_casa,Observações,obrigatoriedade_uso_mascaras_espacos_publicos,Observações,limite_pessoas_por_aglomeracao,Observações,aplicacao_de_multa,Observações,Início de testagem,Observações,observação
RJ,Barra do Piraí,3300308,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Barra do Piraí,3300308,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Barra do Piraí,3300308,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Iguaba Grande,3301876,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Iguaba Grande,3301876,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Iguaba Grande,3301876,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Itaguaí,3302007,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Itaguaí,3302007,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Itaguaí,3302007,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Mangaratiba,3302601,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Mangaratiba,3302601,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Mangaratiba,3302601,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Rio Bonito,3304300,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Rio Bonito,3304300,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Rio Bonito,3304300,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Araraquara,3503208,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Araraquara,3503208,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Araraquara,3503208,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Botucatu,3507506,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Botucatu,3507506,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Botucatu,3507506,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Caraguatatuba,3510500,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Caraguatatuba,3510500,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Caraguatatuba,3510500,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Carapicuíba,3510609,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Carapicuíba,3510609,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Carapicuíba,3510609,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Catanduva,3511102,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Catanduva,3511102,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Catanduva,3511102,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Ferraz de Vasconcelos,3515707,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Ferraz de Vasconcelos,3515707,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Ferraz de Vasconcelos,3515707,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Franco da Rocha,3516408,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Franco da Rocha,3516408,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Franco da Rocha,3516408,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Guarujá,3518701,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Guarujá,3518701,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Guarujá,3518701,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Jaboticabal,3524303,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Jaboticabal,3524303,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Jaboticabal,3524303,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Laranjal Paulista,3526407,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Laranjal Paulista,3526407,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Laranjal Paulista,3526407,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Leme,3526704,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Leme,3526704,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Leme,3526704,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Lins,3527108,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Lins,3527108,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Lins,3527108,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mairiporã,3528502,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mairiporã,3528502,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mairiporã,3528502,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Piracicaba,3538709,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Piracicaba,3538709,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Piracicaba,3538709,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Presidente Prudente,3541406,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Presidente Prudente,3541406,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Presidente Prudente,3541406,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Carlos,3548906,2,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Carlos,3548906,2,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Carlos,3548906,2,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Sebastião,3550704,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Sebastião,3550704,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Sebastião,3550704,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Campo Largo,4104204,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Campo Largo,4104204,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Campo Largo,4104204,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Cascavel,4104808,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Cascavel,4104808,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Cascavel,4104808,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Paranaguá,4118204,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Paranaguá,4118204,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Paranaguá,4118204,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Camboriú,4203204,2,data_comeco,6/15/2020,3/18/2020,Aulas remotas ocorrendo - http://camboriu.sc.gov.br/noticias_mostra.php?idmateria=8396,NA,,NA,,3/31/2020,,3/23/2020,,NA,Seguindo as orientações do estado o transporte público ainda não está funcionando,3/14/2020,,3/14/2020,,3/23/2020,Seguindo as orientações do governo de SC. Transporte aida sem funcionamento.,3/19/2020,,3/14/2020,,4/20/2020,"A medida ocorre em cumprimento a Lei Federal 13.987, de 7 de abril de 2020, que autoriza a distribuição de alimentos adquiridos com recursos do Programa Nacional de Alimentação Escolar (PNAE), durante o período de suspensão das aulas na rede pública de ensino.",3/21/2020,,3/21/2020,,NA,,3/23/2020,,3/23/2020,,4/2/2020,,,,3/23/2020,Uso de máscara obrigatório em todo o município,3/14/2020,,NA,,,,
SC,Camboriú,4203204,2,data_fim,6/15/2020,NA,"Ainda sem previsão de retomada presencial, está seguindo as orientações estaduais. ",NA,,NA,,4/21/2020,,3/23/2020,,NA,"Decreto Nº 630 do Governo do Estado liberou retorno do transporte público dentro de alguns critérios. Ônibus circulando, mas com capacidade reduzida e horário limitado.",4/21/2020,,NA,,6/8/2020,,4/7/2020,,NA,,NA,,5/31/2020,,4/30/2020,,NA,,NA,,5/31/2020,,NA,,,,5/31/2020,,4/21/2020,,NA,,,,
SC,Camboriú,4203204,2,fonte,6/15/2020,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/365/3642/decreto-n-3642-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias; https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/365/3657/decreto-n-3657-2020-altera-o-decreto-municipal-3645-2020,,NA,,NA,,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3645/decreto-n-3645-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias; abertura novamente das atividades https://leismunicipais.com.br/a1/sc/c/camboriu/decreto/2020/367/3661/decreto-n-3661-2020-dispoe-sobre-a-autorizacao-de-atividades-que-especifica-no-ambito-do-municipio-de-camboriu-que-foram-temporariamente-paralisadas-para-o-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias?q=coronav%C3%ADrus,,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3645/decreto-n-3645-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias (MEDIDA REVOGADA!),,NA,,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3636/decreto-n-3636-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias; abertura novamente: https://leismunicipais.com.br/a1/sc/c/camboriu/decreto/2020/367/3661/decreto-n-3661-2020-dispoe-sobre-a-autorizacao-de-atividades-que-especifica-no-ambito-do-municipio-de-camboriu-que-foram-temporariamente-paralisadas-para-o-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias?q=coronav%C3%ADrus (DECRETO Nº 3.661/2020),,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3636/decreto-n-3636-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias (cancelado por tempo inderteminado),,DECRETO ESTADUAL  Nº 525: https://leisestaduais.com.br/sc/decreto-n-525-2020-santa-catarina-dispoe-sobre-novas-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-coronavirus-e-estabelece-outras-providencias. Prorrogado no dia 30 de abril.,Decreto de reabertura: https://www.sc.gov.br/images/decreto630.pdf,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/365/3643/decreto-n-3643-2020-altera-o-decreto-municipal-3642-2020; http://camboriu.sc.gov.br/noticias_mostra.php?idmateria=8267,,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3636/decreto-n-3636-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias,,NA,https://camboriu.news/alunos-de-camboriu-recebem-kit-da-merenda-escolar-em-casa//,DECRETO 3645: https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3645/decreto-n-3645-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias,,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3644/decreto-n-3644-2020-altera-o-decreto-municipal-3642-2020/; https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/365/3657/decreto-n-3657-2020-altera-o-decreto-municipal-3645-2020,,NA,,https://www.bcnoticias.com.br/saude-de-camboriu-adota-nova-logistica-para-vacinacao-de-idosos/,,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3645/decreto-n-3645-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias,,http://camboriu.sc.gov.br/noticias_mostra.php?idmateria=8252,,,,DECRETO 3645:https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3645/decreto-n-3645-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias,,https://leismunicipais.com.br/a/sc/c/camboriu/decreto/2020/364/3636/decreto-n-3636-2020-dispoe-sobre-a-adocao-de-medidas-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias; Autorização decreto 3661: https://leismunicipais.com.br/a1/sc/c/camboriu/decreto/2020/367/3661/decreto-n-3661-2020-dispoe-sobre-a-autorizacao-de-atividades-que-especifica-no-ambito-do-municipio-de-camboriu-que-foram-temporariamente-paralisadas-para-o-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-novo-coronavirus-covid-19-e-da-outras-providencias?q=coronav%C3%ADrus,,NA,,,,
SC,Itajaí,4208203,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Itajaí,4208203,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Itajaí,4208203,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Joinville,4209102,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Joinville,4209102,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Joinville,4209102,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Tubarão,4218707,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Tubarão,4218707,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Tubarão,4218707,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,Novo Hamburgo,4313409,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,Novo Hamburgo,4313409,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,Novo Hamburgo,4313409,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Batayporã,5002001,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Batayporã,5002001,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Batayporã,5002001,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Campo Grande,5002704,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Campo Grande,5002704,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Campo Grande,5002704,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO,Luziânia,5212501,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO,Luziânia,5212501,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO,Luziânia,5212501,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,Ji-Paraná,1100122,1,data_comeco,6/20/2020,3/17/2020,,3/17/2020,,3/17/2020,,3/20/2020,,3/20/2020,,4/17/2020,,3/20/2020,,3/17/2020,,NA,,NA,,3/17/2020,,NA,,NA,,NA,,NA,,3/29/2020,,NA,,4/1/2020,,NA,,4/17/2020,,3/20/2020,,4/5/2020,,6/3/2020,,"Embora não estaja havendo a distribuição da merenda escolar, alunos da rede municipal de ensino em situação de vulnerabilidade social estão recebendo alimentos em suas casas, desde o dia 25/03 Fonte: http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/209"
RO,Ji-Paraná,1100122,1,data_fim,6/20/2020,6/30/2020,,6/30/2020,,6/30/2020,,4/11/2020,,NA,,NA,,5/28/2020,"Município está na fase III do isolamento controlado, que é atualizado a cada 14 dias. http://covid19.sesau.ro.gov.br/Home/Portaria Há uma nota técnica com orientações para a retomada das atividades religiosas. file:///C:/Users/Dell/Downloads/Nota-T%C3%A9cnica-24-CULTOS-RELIGIOSOS.pdf",NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,4/25/2020,,NA,,NA,,
RO,Ji-Paraná,1100122,1,fonte,6/20/2020,"Decreto Nº 24.881, de 16/03/2020;  Decreto 25.049, de 14 de maio de 2020. http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/ http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/204; Decreto municipal N° 12645, de 15/04/2020 (https://globoplay.globo.com/v/8492151/); Decreto 25049, de 14/05/2020 http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/",,"Decreto Nº 24.881, de 16/03/2020 e Decreto N° 24.961, de 17/04/2020 http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf; Decreto 25.049, de 14 de maio de 2020. http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/",,"Decreto Nº 24.881, de 16/03/2020 e Decreto N° 24.961, de 17/04/2020 http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf; Decreto 25.049, de 14 de maio de 2020. http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/",,"Decreto Nº 24.887, de 20/03/2020 / http://www.rondonia.ro.gov.br/publicacao/decreto-no-24-887-de-20-de-marco-de-2020/ e Decreto N° 24.961, de 17/04/2020 ; http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/223http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf ; http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/223; DECRETO N° 24.979, DE 26 DE ABRIL DE 2020 http://www.rondonia.ro.gov.br/publicacao/decreto-n-24-979-de-26-de-abril-de-2020/",,"Decreto Nº 24.887, de 20/03/2020, e Decreto N° 24.961, de 17/04/2020 http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf; Decreto 25.049, de 14 de maio de 2020. http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/; Decreto municipal 12682 http://transparencia.ji-parana.ro.gov.br/transparencia/aplicacoes/publicacao/download.php?id_doc=018515&extencao=PDF",,"Decreto N° 24.961, de 17/04/2020 http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf; Decreto 25.049, de 14 de maio de 2020. http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/",,"Decreto Nº 24.887, de 20/03/2020, e Decreto N° 24.919/ http://www.rondonia.ro.gov.br/publicacao/decreto-n-24-919/ e decreto 24961 http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf; Decreto 25.049, de 14 de maio de 2020. http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/; Decreto municipal 12682 http://transparencia.ji-parana.ro.gov.br/transparencia/aplicacoes/publicacao/download.php?id_doc=018515&extencao=PDF",,"http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/204; Decreto 25.049, de 14 de maio de 2020. http://www.rondonia.ro.gov.br/publicacao/decreto-n-25-049-de-14-de-maio-de-2020/",,NA,,NA,,http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/204,,NA,,NA,,NA,,NA,,http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/213,,NA,,http://www.ji-parana.ro.gov.br/Noticia/visualizar/id/216,,NA,,http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf,,"Decreto Nº 24.887, de 20/03/2020, e Decreto N° 24.961, de 17/04/2020 http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/DEC24961.pdf",,http://www.rondonia.ro.gov.br/descumprimento-do-isolamento-social-aumenta-numero-de-casos-da-covid-19-em-rondonia/; Decreto 25.049/2020,,https://www.rondoniagora.com/geral/coronavirus-rondonia-comeca-testes-em-massa-da-populacao-em-todos-os-municipios,,
AC,Plácido de Castro,1200385,1,data_comeco,4/20/2020,3/18/2020,,3/17/2020,,3/17/2020,,3/20/2020,,3/18/2020,,NA,,NA,,3/18/2020,,3/23/2020,,4/17/2020,,3/27/2020,,3/30/2020,,3/17/2020,,4/17/2020,,4/17/2020,,NA,,4/8/2020,,3/30/2020,,3/27/2020,,4/20/2020,,3/18/2020,,4/20/2020,,,,
AC,Plácido de Castro,1200385,1,data_fim,4/20/2020,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,5/5/2020,,NA,,5/5/2020,,,,
